term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type,abs_estimate
panelist.beer_style_affinity.ipa,18.76410447882782,1.9690175337097215,9.529678714173443,1.1369764398742359e-08,14.642903417221742,22.8853055404339,,slope,18.76410447882782
panelist.age_group_50-64,18.184972142819195,2.498507629355936,7.2783336457159065,6.625803137508316e-07,12.955535574454657,23.414408711183732,,slope,18.184972142819195
panelist.beer_style_affinity.lager,16.62002558581175,0.8551387597562461,19.435472192313235,5.356126764943472e-14,14.830199591785078,18.40985157983842,,slope,16.62002558581175
product.flavor_profile.bitterness,-14.555888572881528,8.043809192559339,-1.8095765606108576,0.08621061184668283,-31.39177470197853,2.2799975562154735,,slope,14.555888572881528
product.flavor_profile.sweetness,14.495181078146546,19.573121229352843,0.740565641437342,0.4680107974624884,-26.471832474737987,55.462194631031075,,slope,14.495181078146546
product.flavor_profile.body,12.188746995614474,7.309945741313067,1.66741962621258,0.11182950571919359,-3.1111452773730157,27.488639268601965,,slope,12.188746995614474
product.flavor_profile.aroma_intensity,11.345310889496698,16.28556221083991,0.6966484019781087,0.49445851257503093,-22.740762557353445,45.43138433634684,,slope,11.345310889496698
panelist.age_group_65+,7.995961820618064,1.7732304522284272,4.509262634515158,0.00024008535373720637,4.2845478300947235,11.707375811141404,,slope,7.995961820618064
panelist.age_group_40-49,7.777420646493029,0.9079190914005971,8.566204544168388,5.981535142466295e-08,5.877124148735085,9.677717144250973,,slope,7.777420646493029
panelist.adventurousness,6.851880833883605,2.183624767274697,3.137847187195623,0.005417692737710772,2.281501670176019,11.42225999759119,,slope,6.851880833883605
panelist.beer_style_affinity.wheat,5.460132638444139,0.6074250967017295,8.988980975748664,2.8464886754809903e-08,4.188777299796154,6.731487977092124,,slope,5.460132638444139
panelist.price_sensitivity,5.0270411986133166,1.2986313036573236,3.8710303566960893,0.001028665644534548,2.308974642250977,7.745107754975656,,slope,5.0270411986133166
panelist.gender_nonbinary,4.352084705903604,1.237663600985178,3.5163712518000465,0.0023079682013707973,1.7616250177760757,6.942544394031131,,slope,4.352084705903604
panelist.gender_male,3.2495706547658214,0.27136087364250033,11.975089153961495,2.6834219586910257e-10,2.681605818806827,3.817535490724816,,slope,3.2495706547658214
panelist.beer_style_affinity.sour,-3.2396427260947576,0.5936552141171246,-5.45711155070491,2.893837114594305e-05,-4.482177369266787,-1.997108082922728,,slope,3.2396427260947576
panelist.sweetness_preference,3.1629282932458196,0.6332891271839887,4.994445913370147,8.049193859847444e-05,1.8374389166545175,4.488417669837122,,slope,3.1629282932458196
panelist.income_bracket_150k+,-3.0828431877901936,1.5066721556325129,-2.046127404867313,0.05483720042930408,-6.2363442516361935,0.07065787605580587,,slope,3.0828431877901936
panelist.abv_preference,-2.952567045264372,1.679328740172881,-1.7581828826203592,0.09481491038574508,-6.467442493705336,0.5623084031765919,,slope,2.952567045264372
product.abv,-2.490881537377652,0.9406947268779937,-2.647916976896921,0.015871657507275014,-4.459778228588304,-0.521984846167,,slope,2.490881537377652
panelist.region_Northeast,-2.3363854340782675,0.5667365560505199,-4.122524670651381,0.00057918125872505,-3.5225786784045026,-1.1501921897520326,,slope,2.3363854340782675
