term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type
panelist.abv_preference,,,,,,,0,slope
panelist.adventurousness,,,,,,,0,slope
panelist.beer_style_affinity.ipa,,,,,,,0,slope
panelist.beer_style_affinity.lager,,,,,,,0,slope
panelist.beer_style_affinity.sour,,,,,,,0,slope
panelist.beer_style_affinity.stout,,,,,,,0,slope
panelist.beer_style_affinity.wheat,,,,,,,0,slope
panelist.bitterness_tolerance,,,,,,,0,slope
panelist.price_sensitivity,,,,,,,0,slope
panelist.sweetness_preference,,,,,,,0,slope
product.abv,,,,,,,0,slope
product.color_srm,,,,,,,0,slope
product.flavor_profile.acidity,,,,,,,0,slope
product.flavor_profile.aroma_intensity,,,,,,,0,slope
product.flavor_profile.bitterness,,,,,,,0,slope
product.flavor_profile.body,,,,,,,0,slope
product.flavor_profile.sweetness,,,,,,,0,slope
product.ibu,,,,,,,0,slope
panelist.age_group_30-39,,,,,,,0,slope
panelist.age_group_40-49,,,,,,,0,slope
panelist.age_group_50-64,,,,,,,0,slope
panelist.age_group_65+,,,,,,,0,slope
panelist.gender_male,,,,,,,0,slope
panelist.gender_nonbinary,,,,,,,0,slope
panelist.gender_prefer_not_say,,,,,,,0,slope
panelist.income_bracket_150k+,,,,,,,0,slope
panelist.region_Northeast,,,,,,,0,slope
panelist.abv_preference,,,,,,,1,slope
panelist.adventurousness,,,,,,,1,slope
panelist.beer_style_affinity.ipa,,,,,,,1,slope
panelist.beer_style_affinity.lager,,,,,,,1,slope
panelist.beer_style_affinity.sour,,,,,,,1,slope
panelist.beer_style_affinity.stout,,,,,,,1,slope
panelist.beer_style_affinity.wheat,,,,,,,1,slope
panelist.bitterness_tolerance,,,,,,,1,slope
panelist.price_sensitivity,,,,,,,1,slope
panelist.sweetness_preference,,,,,,,1,slope
product.abv,,,,,,,1,slope
product.color_srm,,,,,,,1,slope
product.flavor_profile.acidity,,,,,,,1,slope
product.flavor_profile.aroma_intensity,,,,,,,1,slope
product.flavor_profile.bitterness,,,,,,,1,slope
product.flavor_profile.body,,,,,,,1,slope
product.flavor_profile.sweetness,,,,,,,1,slope
product.ibu,,,,,,,1,slope
panelist.age_group_30-39,,,,,,,1,slope
panelist.age_group_40-49,,,,,,,1,slope
panelist.age_group_50-64,,,,,,,1,slope
panelist.age_group_65+,,,,,,,1,slope
panelist.gender_male,,,,,,,1,slope
panelist.gender_nonbinary,,,,,,,1,slope
panelist.gender_prefer_not_say,,,,,,,1,slope
panelist.income_bracket_150k+,,,,,,,1,slope
panelist.region_Northeast,,,,,,,1,slope
