term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type,abs_estimate
product.flavor_profile.aroma_intensity,-18.947365973896996,12.025388466988282,-1.575613629938917,0.131619398640558,-44.116793298907176,6.222061351113183,,slope,18.947365973896996
product.flavor_profile.bitterness,16.91542080420233,6.17937342204599,2.737400647103414,0.013087414785632447,3.9818435906889693,29.848998017715694,,slope,16.91542080420233
product.flavor_profile.sweetness,-15.285324259873072,14.051579397252741,-1.087801152293353,0.29028997647109744,-44.69561794075062,14.124969421004476,,slope,15.285324259873072
panelist.beer_style_affinity.ipa,-9.754800478808258,1.2654288411047592,-7.708691442730205,2.894630258347616e-07,-12.403373482382491,-7.106227475234025,,slope,9.754800478808258
panelist.beer_style_affinity.lager,-7.473236913494591,0.5555441955253635,-13.452101513593078,3.6779320911342e-11,-8.636004278016063,-6.310469548973118,,slope,7.473236913494591
panelist.price_sensitivity,-7.118576318154044,0.6115835837048493,-11.639580439735076,4.328816561506614e-10,-8.398635470129502,-5.838517166178585,,slope,7.118576318154044
panelist.gender_nonbinary,-5.932043030192235,0.8845630929057399,-6.706184191684742,2.0710849641460616e-06,-7.783454861285719,-4.08063119909875,,slope,5.932043030192235
panelist.beer_style_affinity.sour,5.361524958428489,0.57663885547031,9.297890538534032,1.6777822176681394e-08,4.15460596322268,6.568443953634297,,slope,5.361524958428489
panelist.beer_style_affinity.wheat,-5.139657637049038,0.32363277983990996,-15.88114046911889,2.0082747566267355e-12,-5.817028830048983,-4.462286444049093,,slope,5.139657637049038
panelist.income_bracket_150k+,-3.7346684480368615,0.7272924490137072,-5.135029867423352,5.885501113058268e-05,-5.256909038412045,-2.212427857661677,,slope,3.7346684480368615
panelist.abv_preference,3.3276590843793774,1.1573116237284282,2.875335403319372,0.009689332129611717,0.9053780174694923,5.7499401512892625,,slope,3.3276590843793774
panelist.adventurousness,3.288314748796642,1.2433548360908764,2.644711431802643,0.01598116299002864,0.6859431686935946,5.89068632889969,,slope,3.288314748796642
panelist.age_group_40-49,-2.1895241799080774,0.8015916863246477,-2.7314706692470754,0.013256501477038246,-3.867274861199248,-0.5117734986169067,,slope,2.1895241799080774
panelist.age_group_50-64,-2.0214402627498025,1.7816709842059957,-1.1345755084239981,0.2706649913706359,-5.750520489734196,1.7076399642345907,,slope,2.0214402627498025
panelist.gender_male,-1.8492024893588017,0.17214355540106555,-10.742211551576652,1.6410381040741778e-09,-2.2095030916245935,-1.48890188709301,,slope,1.8492024893588017
panelist.bitterness_tolerance,-1.7536932760135717,1.4604902019372554,-1.200756618351427,0.24460208557960744,-4.810534399895829,1.3031478478686855,,slope,1.7536932760135717
product.abv,1.5239157996300894,0.6547447693187436,2.3274959511562208,0.03114343141294168,0.1535192479479699,2.894312351312209,,slope,1.5239157996300894
panelist.age_group_65+,1.385385809724643,1.390800221037376,0.9961069812681691,0.33171585914981716,-1.5255925077829142,4.2963641272322,,slope,1.385385809724643
product.flavor_profile.acidity,1.0063181033859436,0.8908349922668871,1.129634682204377,0.27269047460129914,-0.85822096393725,2.8708571707091375,,slope,1.0063181033859436
panelist.gender_prefer_not_say,-0.7048717648225561,0.6071379233175102,-1.16097469413706,0.2600313637254755,-1.9756260426695844,0.5658825130244721,,slope,0.7048717648225561
