column,reason
panelist.income_bracket_30-60k,duplicate
product.ingredients.barrel_aged,rank_deficient
product.ingredients.citrus_hops,rank_deficient
product.ingredients.fruit_added,rank_deficient
product.ingredients.lactose,rank_deficient
product.ingredients.roasted_malt,rank_deficient
product.price_usd_6pack,rank_deficient
panelist.income_bracket_60-100k,rank_deficient
panelist.income_bracket_<30k,rank_deficient
panelist.region_South,rank_deficient
panelist.region_West,rank_deficient
product.style_Pilsner,rank_deficient
product.style_Porter,rank_deficient
product.style_Saison,rank_deficient
product.style_Sour,rank_deficient
product.style_Stout,rank_deficient
product.style_Wheat,rank_deficient
