term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type
const,604.1470540279709,163.68663164084293,3.690875962024651,0.0015516810076989422,261.5469966186219,946.7471114373197,,intercept
panelist.abv_preference,-261.5572161714552,72.01652697944553,-3.631905440901185,0.0017747754698896787,-412.2895394543763,-110.82489288853407,,slope
panelist.adventurousness,-300.79159147357905,83.91105402528731,-3.5846479938499276,0.0019762721135046252,-476.4194459792567,-125.1637369679014,,slope
panelist.beer_style_affinity.ipa,-138.7175120845289,40.57154133689033,-3.4190841046109766,0.0028774942133789633,-223.63472402705952,-53.800300141998264,,slope
panelist.beer_style_affinity.lager,-338.4744042959355,94.7981769037299,-3.570473772292746,0.002041009444299529,-536.8892688694921,-140.05953972237901,,slope
panelist.beer_style_affinity.sour,188.90291398264588,52.075172375323056,3.6275043435508936,0.0017926475121204325,79.90832556363804,297.8975024016537,,slope
panelist.beer_style_affinity.stout,-129.11669701250935,36.195783992045115,-3.567175034553356,0.002056374060625067,-204.87534357602533,-53.35805044899338,,slope
panelist.beer_style_affinity.wheat,-138.05989507621067,38.69276146069576,-3.5681065363208146,0.0020520238250779513,-219.04477554492792,-57.07501460749343,,slope
panelist.bitterness_tolerance,130.15925456095175,36.63984984848244,3.5523959595686696,0.0021266272681302995,53.471167478171054,206.84734164373245,,slope
panelist.price_sensitivity,6.8982459490420105,2.286549068403296,3.0168807852696014,0.007091490036647111,2.1124437472891078,11.684048150794913,,slope
panelist.sweetness_preference,-254.10971585748703,71.30734463605631,-3.5635840481009486,0.0020732299743923,-403.3577034367329,-104.86172827824115,,slope
product.abv,-2.490881537378267,0.9406947268887851,-2.647916976867199,0.015871657508287045,-4.459778228611506,-0.5219848461450285,,slope
product.color_srm,-0.5263993260560322,0.3578843214695765,-1.470864451101083,0.15769594096070813,-1.2754598195874354,0.2226611674753709,,slope
product.flavor_profile.acidity,1.074112965483416,1.4091469900290214,0.7622433806293655,0.45527390619842556,-1.8752655808443264,4.023491511811159,,slope
product.flavor_profile.aroma_intensity,11.345310889508136,16.28556221103968,0.6966484019702656,0.4944585125798304,-22.740762557760128,45.4313843367764,,slope
product.flavor_profile.bitterness,-14.555888572885715,8.043809192675615,-1.8095765605852199,0.08621061185079955,-31.391774702226087,2.279997556454658,,slope
product.flavor_profile.body,12.188746995607282,7.3099457413459135,1.6674196262041037,0.11182950572089716,-3.1111452774489567,27.48863926866352,,slope
product.flavor_profile.sweetness,14.495181078141691,19.573121229575595,0.7405656414286661,0.4680107974676285,-26.471832475209062,55.462194631492444,,slope
product.ibu,0.37822917976212217,0.18995266906792072,1.9911759156533888,0.061038344816358364,-0.019346325796088304,0.7758046853203326,,slope
panelist_id_p0002,11.763265108000642,3.331325092278797,3.531106926569561,0.0022320155764687663,4.790721556807293,18.735808659193992,,slope
panelist_id_p0003,-18.859081540640656,5.047010993795904,-3.736683269329787,0.001397798217695656,-29.422596953518436,-8.295566127762877,,slope
panelist_id_p0004,-196.97148297526934,54.989004682285376,-3.582015788671356,0.0019881384754007816,-312.06479250326123,-81.87817344727745,,slope
panelist_id_p0005,-14.577122744013483,4.545915225272234,-3.2066420119263284,0.00464450446662214,-24.091832659809025,-5.062412828217941,,slope
panelist_id_p0006,-14.28485885709627,3.826541815135942,-3.733098851969238,0.0014092720225157586,-22.29390292137485,-6.275814792817686,,slope
panelist_id_p0007,55.04553024482419,15.624441406563486,3.523039884273928,0.002273284670891157,22.343198544194344,87.74786194545405,,slope
panelist_id_p0008,34.699162098168244,9.746707350673978,3.56009069009021,0.00208975873758864,14.299069161929776,55.09925503440671,,slope
panelist_id_p0009,-246.1913170114766,68.98573421957744,-3.5687279376901966,0.0020491268624529637,-390.58011814406746,-101.80251587888577,,slope
panelist_id_p0010,-86.84112876755253,24.383488158203892,-3.561472755830244,0.0020832039939730138,-137.87635601305232,-35.80590152205275,,slope
