choice_set,event_id,event_type,outcomes,panelist_features,panelist_id,policy,product_display,product_features,product_id,schema_version,selected_product_ids,selection_id,t,traces
"[""prod_0001"", ""prod_0002"", ""prod_0003"", ""prod_0004"", ""prod_0005"", ""prod_0006"", ""prod_0007"", ""prod_0008"", ""prod_0009"", ""prod_0010""]",be6de9169fa7cb8f8c77d0c9102ded5e,selection,,,p0001,self_selection,,,,0.1.0,"[""prod_0003"", ""prod_0004"", ""prod_0005"", ""prod_0009"", ""prod_0006""]",,0,"{""dropped_product_ids"": [""prod_0009"", ""prod_0006""], ""executed_product_ids"": [""prod_0003"", ""prod_0004"", ""prod_0005""], ""notes"": ""Prioritizing IPAs, Sours, and Wheat beers with citrus notes and reasonable prices.""}"
,213c24956d2a5098d08c16b53825f89f,evaluation,"{""bitterness"": 4, ""purchase_intent"": ""yes"", ""rating"": 4}","{""abv_preference"": 0.6, ""adventurousness"": 0.9, ""age_group"": ""21-29"", ""beer_style_affinity"": {""ipa"": 0.8, ""lager"": 0.3, ""sour"": 0.6, ""stout"": 0.2, ""wheat"": 0.9}, ""bitterness_tolerance"": 0.7, ""gender"": ""female"", ""income_bracket"": ""<30k"", ""price_sensitivity"": 0.8, ""region"": ""West"", ""sweetness_preference"": 0.1}",p0001,self_selection,"Introducing Citrus Burst IPA, a vibrant and refreshing take on a classic style. This IPA boasts a bright golden color and a satisfyingly crisp bitterness (60 IBU) with an ABV of 6.2%. Expect a juicy aroma and flavor driven by prominent citrus hops, balanced by a light body and subtle acidity. With no added sweetness or fruit, this beer delivers a clean and zesty experience. Perfect for those who enjoy a balanced IPA with a burst of citrus character, Citrus Burst is available now for $12 per six-pack.","{""abv"": 6.2, ""color_srm"": 12, ""flavor_profile"": {""acidity"": 0.4, ""aroma_intensity"": 0.9, ""bitterness"": 0.8, ""body"": 0.4, ""sweetness"": 0.05}, ""ibu"": 60, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 12, ""style"": ""IPA""}",prod_0003,0.1.0,,be6de9169fa7cb8f8c77d0c9102ded5e,0,"{""rationale"": ""This sounds exactly like what I love! An IPA with citrus hops and no added sweetness is perfect. The 60 IBU sounds like a good level of bitterness for me, and the price is reasonable. I'm definitely going to try this.""}"
,3cb7c7e5cdf97780545971cfa0f01feb,evaluation,"{""bitterness"": 2, ""purchase_intent"": ""maybe"", ""rating"": 3}","{""abv_preference"": 0.6, ""adventurousness"": 0.9, ""age_group"": ""21-29"", ""beer_style_affinity"": {""ipa"": 0.8, ""lager"": 0.3, ""sour"": 0.6, ""stout"": 0.2, ""wheat"": 0.9}, ""bitterness_tolerance"": 0.7, ""gender"": ""female"", ""income_bracket"": ""<30k"", ""price_sensitivity"": 0.8, ""region"": ""West"", ""sweetness_preference"": 0.1}",p0001,self_selection,"Introducing Summer Orchard Sour, a refreshing and tart beer perfect for warm weather. This light-bodied Sour boasts a vibrant acidity balanced by subtle sweetness, creating a crisp and enjoyable drinking experience. With a gentle bitterness and a delicate aroma, it’s easy to sip on. Brewed with real fruit additions, this beer offers a unique and fruity twist on the classic Sour style. At 5.0% ABV and 15 IBUs, it’s a delightfully approachable beer, priced at $16 for a six-pack.","{""abv"": 5.0, ""color_srm"": 6, ""flavor_profile"": {""acidity"": 0.9, ""aroma_intensity"": 0.5, ""bitterness"": 0.1, ""body"": 0.3, ""sweetness"": 0.4}, ""ibu"": 15, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": false, ""fruit_added"": true, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 16, ""style"": ""Sour""}",prod_0004,0.1.0,,be6de9169fa7cb8f8c77d0c9102ded5e,0,"{""rationale"": ""As a huge IPA and sour fan, this sounds promising. The description mentions a tartness I enjoy, and the fruit additions are appealing. However, the low IBU and sweetness level make me hesitant. I like a decent amount of bitterness, and while I don't want it overly sweet, 0.4 sweetness seems a bit high. The price is reasonable, so I might try it if I see it on sale or it's recommended by a friend.""}"
,a5fd1184bf0aaab539ccb96b18ae690d,evaluation,"{""bitterness"": 2, ""purchase_intent"": ""maybe"", ""rating"": 3}","{""abv_preference"": 0.6, ""adventurousness"": 0.9, ""age_group"": ""21-29"", ""beer_style_affinity"": {""ipa"": 0.8, ""lager"": 0.3, ""sour"": 0.6, ""stout"": 0.2, ""wheat"": 0.9}, ""bitterness_tolerance"": 0.7, ""gender"": ""female"", ""income_bracket"": ""<30k"", ""price_sensitivity"": 0.8, ""region"": ""West"", ""sweetness_preference"": 0.1}",p0001,self_selection,"Introducing Rustic Field Saison, a refreshing and complex beer perfect for enjoying outdoors. This Saison boasts a light golden color and a subtle malt sweetness balanced by a crisp acidity. Expect a vibrant aroma with citrus hop notes, complemented by a medium-light body and gentle bitterness. Aged in oak barrels, this beer offers a nuanced depth of flavor. With an ABV of 7.0% and 25 IBUs, it’s a flavorful yet approachable choice. Available in a six-pack for $11.","{""abv"": 7.0, ""color_srm"": 4, ""flavor_profile"": {""acidity"": 0.7, ""aroma_intensity"": 0.8, ""bitterness"": 0.3, ""body"": 0.5, ""sweetness"": 0.2}, ""ibu"": 25, ""ingredients"": {""barrel_aged"": true, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 11, ""style"": ""Saison""}",prod_0005,0.1.0,,be6de9169fa7cb8f8c77d0c9102ded5e,0,"{""rationale"": ""As a big IPA fan, I'm intrigued by the citrus hop aroma described. The Saison style is new to me, and I'm open to trying it. However, the low bitterness (25 IBUs) and relatively low acidity (0.7) make me hesitant, as I generally prefer more intense flavors. The barrel-aging is a nice touch, but I'm not sure if it will be enough to overcome my preference for bolder beers. The price is reasonable, so I might give it a shot if I see it on the shelf.""}"
"[""prod_0001"", ""prod_0002"", ""prod_0003"", ""prod_0004"", ""prod_0005"", ""prod_0006"", ""prod_0007"", ""prod_0008"", ""prod_0009"", ""prod_0010""]",e30b4b29222177aab03139abdb8ce6a9,selection,,,p0002,self_selection,,,,0.1.0,"[""prod_0001"", ""prod_0002"", ""prod_0003"", ""prod_0005"", ""prod_0006"", ""prod_0009""]",,0,"{""dropped_product_ids"": [""prod_0005"", ""prod_0006"", ""prod_0009""], ""executed_product_ids"": [""prod_0001"", ""prod_0002"", ""prod_0003""], ""notes"": ""Prioritizing Pilsners, IPAs, and Wheat beers. Skipping Sours and Porters initially.""}"
,3ab134a86a78b8837ab01017c2d6a1e7,evaluation,"{""bitterness"": 3, ""purchase_intent"": ""yes"", ""rating"": 4}","{""abv_preference"": 0.4, ""adventurousness"": 0.5, ""age_group"": ""30-39"", ""beer_style_affinity"": {""ipa"": 0.5, ""lager"": 0.7, ""sour"": 0.1, ""stout"": 0.4, ""wheat"": 0.2}, ""bitterness_tolerance"": 0.6, ""gender"": ""male"", ""income_bracket"": ""60-100k"", ""price_sensitivity"": 0.3, ""region"": ""Midwest"", ""sweetness_preference"": 0.3}",p0002,self_selection,"Introducing Golden Horizon Pilsner, a crisp and refreshing beer crafted for everyday enjoyment. This classic Pilsner boasts a light golden color and a clean, bright taste. Expect a subtle citrus hop aroma and a balanced bitterness, complemented by a light body and a dry finish. With an ABV of 4.8% and 35 IBUs, it’s perfectly approachable and easy-drinking. Brewed with carefully selected ingredients, including citrus hops, Golden Horizon offers a straightforward and satisfying Pilsner experience. A six-pack is priced at $9.","{""abv"": 4.8, ""color_srm"": 3, ""flavor_profile"": {""acidity"": 0.3, ""aroma_intensity"": 0.6, ""bitterness"": 0.4, ""body"": 0.2, ""sweetness"": 0.1}, ""ibu"": 35, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 9, ""style"": ""Pilsner""}",prod_0001,0.1.0,,e30b4b29222177aab03139abdb8ce6a9,0,"{""rationale"": ""This sounds like exactly what I'm looking for! A Pilsner with a balanced bitterness and citrus aroma is right up my alley. The ABV is perfect, and the price is reasonable. The flavor profile numbers confirm it's not overly sweet or bitter. I'd definitely buy this.""}"
,ae472565fba5c9f3dde00e5c50685c91,evaluation,"{""bitterness"": 3, ""purchase_intent"": ""maybe"", ""rating"": 2}","{""abv_preference"": 0.4, ""adventurousness"": 0.5, ""age_group"": ""30-39"", ""beer_style_affinity"": {""ipa"": 0.5, ""lager"": 0.7, ""sour"": 0.1, ""stout"": 0.4, ""wheat"": 0.2}, ""bitterness_tolerance"": 0.6, ""gender"": ""male"", ""income_bracket"": ""60-100k"", ""price_sensitivity"": 0.3, ""region"": ""Midwest"", ""sweetness_preference"": 0.3}",p0002,self_selection,"Introducing Midnight Bloom Stout, a rich and decadent dark beer perfect for savoring. This full-bodied stout boasts a deep, dark color and an ABV of 7.5%. Expect a complex flavor profile with notes of roasted malt complemented by a subtle sweetness and creamy mouthfeel thanks to the addition of lactose. With a moderate bitterness and a pleasant aroma, Midnight Bloom offers a balanced and satisfying experience. It’s a robust and flavorful choice, priced at $14 for a six-pack, ideal for those who appreciate a truly indulgent stout.","{""abv"": 7.5, ""color_srm"": 32, ""flavor_profile"": {""acidity"": 0.1, ""aroma_intensity"": 0.7, ""bitterness"": 0.2, ""body"": 0.8, ""sweetness"": 0.6}, ""ibu"": 45, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": false, ""fruit_added"": false, ""lactose"": true, ""roasted_malt"": true}, ""price_usd_6pack"": 14, ""style"": ""Stout""}",prod_0002,0.1.0,,e30b4b29222177aab03139abdb8ce6a9,0,"{""rationale"": ""While I generally don't gravitate towards stouts, the description mentions a moderate bitterness and balanced flavor profile, which is appealing. The lactose addition is a slight concern as I don't love overly sweet beers, but the roasted malt notes sound promising. The price is a bit higher than I typically spend, which makes me hesitant. I'd consider trying it once, but it's not a guaranteed repurchase. The bitterness rating is a 3 because the IBU is 45, which is moderate.""}"
,169f0860ce18176a156e260f288d8c74,evaluation,"{""bitterness"": 3, ""purchase_intent"": ""maybe"", ""rating"": 4}","{""abv_preference"": 0.4, ""adventurousness"": 0.5, ""age_group"": ""30-39"", ""beer_style_affinity"": {""ipa"": 0.5, ""lager"": 0.7, ""sour"": 0.1, ""stout"": 0.4, ""wheat"": 0.2}, ""bitterness_tolerance"": 0.6, ""gender"": ""male"", ""income_bracket"": ""60-100k"", ""price_sensitivity"": 0.3, ""region"": ""Midwest"", ""sweetness_preference"": 0.3}",p0002,self_selection,"Introducing Citrus Burst IPA, a vibrant and refreshing take on a classic style. This IPA boasts a bright golden color and a satisfyingly crisp bitterness (60 IBU) with an ABV of 6.2%. Expect a juicy aroma and flavor driven by prominent citrus hops, balanced by a light body and subtle acidity. With no added sweetness or fruit, this beer delivers a clean and zesty experience. Perfect for those who enjoy a balanced IPA with a burst of citrus character, Citrus Burst is available now for $12 per six-pack.","{""abv"": 6.2, ""color_srm"": 12, ""flavor_profile"": {""acidity"": 0.4, ""aroma_intensity"": 0.9, ""bitterness"": 0.8, ""body"": 0.4, ""sweetness"": 0.05}, ""ibu"": 60, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 12, ""style"": ""IPA""}",prod_0003,0.1.0,,e30b4b29222177aab03139abdb8ce6a9,0,"{""rationale"": ""The description aligns well with my preferences. I like lagers and IPAs, and I appreciate a balanced bitterness. The 60 IBU seems reasonable, and the lack of added sweetness is a plus. The price is a little higher than I typically spend, which is why I'm only 'maybe' on purchasing it, but I'd be willing to try it.""}"
"[""prod_0001"", ""prod_0002"", ""prod_0003"", ""prod_0004"", ""prod_0005"", ""prod_0006"", ""prod_0007"", ""prod_0008"", ""prod_0009"", ""prod_0010""]",3a23153fdba2f891c7708ccff8886c3d,selection,,,p0003,self_selection,,,,0.1.0,"[""prod_0001"", ""prod_0006"", ""prod_0009""]",,0,"{""executed_product_ids"": [""prod_0001"", ""prod_0006"", ""prod_0009""], ""notes"": ""Prioritizing Pilsners and Wheat beers, avoiding stouts, IPAs, and sours.""}"
,2e9a5720abb4011117f0833e216222cd,evaluation,"{""bitterness"": 3, ""purchase_intent"": ""maybe"", ""rating"": 3}","{""abv_preference"": 0.1, ""adventurousness"": 0.2, ""age_group"": ""40-49"", ""beer_style_affinity"": {""ipa"": 0.2, ""lager"": 0.9, ""sour"": 0.0, ""stout"": 0.1, ""wheat"": 0.4}, ""bitterness_tolerance"": 0.2, ""gender"": ""female"", ""income_bracket"": ""100-150k"", ""price_sensitivity"": 0.1, ""region"": ""South"", ""sweetness_preference"": 0.5}",p0003,self_selection,"Introducing Golden Horizon Pilsner, a crisp and refreshing beer crafted for everyday enjoyment. This classic Pilsner boasts a light golden color and a clean, bright taste. Expect a subtle citrus hop aroma and a balanced bitterness, complemented by a light body and a dry finish. With an ABV of 4.8% and 35 IBUs, it’s perfectly approachable and easy-drinking. Brewed with carefully selected ingredients, including citrus hops, Golden Horizon offers a straightforward and satisfying Pilsner experience. A six-pack is priced at $9.","{""abv"": 4.8, ""color_srm"": 3, ""flavor_profile"": {""acidity"": 0.3, ""aroma_intensity"": 0.6, ""bitterness"": 0.4, ""body"": 0.2, ""sweetness"": 0.1}, ""ibu"": 35, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 9, ""style"": ""Pilsner""}",prod_0001,0.1.0,,3a23153fdba2f891c7708ccff8886c3d,0,"{""rationale"": ""As a devoted lager drinker, I appreciate that this is a Pilsner, which is a type of lager. The description mentions a 'balanced bitterness,' which is a concern given my low tolerance. The sweetness level is quite low (0.1), which isn't ideal for my preference. However, the citrus hop aroma sounds pleasant, and the ABV is low, which I like. Overall, it's not a perfect fit, but I'm open to trying it once.""}"
