term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type
panelist.beer_style_affinity.stout,5.798849865612473,1.3853034944937037,4.185977938164242,2.8394092845633027e-05,3.0837049087473325,8.513994822477613,,slope
panelist.age_group_30-39,5.926898264210747,1.5667746451298228,3.782865827344075,0.00015503299416573424,2.8560763878657704,8.997720140555725,,slope
panelist.beer_style_affinity.ipa,35.99975739306475,10.749476510451242,3.3489777253863267,0.0008111031628551759,14.931170579921016,57.06834420620848,,slope
panelist.beer_style_affinity.lager,34.13080969368163,10.8961000392351,3.132387695669284,0.0017339074737066894,12.774846044835364,55.48677334252789,,slope
panelist.gender_male,5.581643295257745,1.9495053126484412,2.8631075068346306,0.004195081982271614,1.7606830947973022,9.402603495718187,,slope
panelist.beer_style_affinity.wheat,11.11694485724154,4.129549179183787,2.692048060180464,0.007101471092364933,3.0231771936543765,19.210712520828704,,slope
panelist.bitterness_tolerance,-8.5696264303711,3.325158419735359,-2.577208466071561,0.009960186102345944,-15.086817175942524,-2.0524356847996765,,slope
panelist.age_group_40-49,13.6124611504585,6.9211048034145985,1.9668046557744152,0.04920573563527404,0.047345002538715875,27.177577298378285,,slope
panelist.abv_preference,4.754445159407602,2.811237675828191,1.6912284579449306,0.09079317779343667,-0.7554794371977396,10.264369756012943,,slope
panelist.age_group_65+,16.341751914835285,11.92037871598142,1.370908786054441,0.17040339210809619,-7.021761050566109,39.70526488023668,,slope
panelist.beer_style_affinity.sour,5.991817186975273,4.412216579974057,1.3580061355488817,0.17446173728846925,-2.65596840176437,14.639602775714916,,slope
panelist.region_Northeast,-4.831274683748468,4.156868741967679,-1.1622389311868326,0.24513842491840065,-12.978587706465442,3.3160383389685055,,slope
panelist.sweetness_preference,-7.737657259496991,6.801069958862632,-1.137711758046816,0.2552408620323413,-21.067509435205057,5.592194916211075,,slope
panelist.age_group_50-64,26.688049507484966,23.833713837893868,1.1197604237847696,0.26281586838226034,-20.025171232620924,73.40127024759086,,slope
panelist.gender_nonbinary,4.305949073849601,4.55070585739606,0.9462156440744975,0.344038608497538,-4.613270510882143,13.225168658581346,,slope
panelist.price_sensitivity,4.697546219833434,6.034005320573552,0.7785121109881482,0.43626716968308876,-7.128886891013792,16.52397933068066,,slope
panelist.gender_prefer_not_say,-0.8744148309335298,6.477618988967079,-0.13499016111056633,0.8926196534234845,-13.570314754881764,11.821485093014704,,slope
panelist.income_bracket_150k+,-0.5302791832564426,12.285329504856337,-0.04316361095946394,0.9655711122867651,-24.60908255098216,23.548524184469272,,slope
panelist.adventurousness,0.26100665910742143,17.354558984113787,0.015039659569934602,0.9880005401934788,-33.75330391733163,34.275317235546474,,slope
