term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type
panelist.abv_preference,-19.960883246460938,12.821430578398981,-1.5568374468360975,0.11950908400435974,-45.0904254104035,5.168658917481618,,slope
panelist.adventurousness,-12.882115469032902,44.289768538697516,-0.2908598507977604,0.7711585087737828,-99.68846668849521,73.92423575042942,,slope
panelist.beer_style_affinity.ipa,38.18843093392087,19.47675311714135,1.960718539904452,0.04991186511394257,0.014696288545593461,76.36216557929615,,slope
panelist.beer_style_affinity.lager,31.38027311587015,19.833627883515078,1.582175147187882,0.1136095922680786,-7.492923218588782,70.25346945032908,,slope
panelist.beer_style_affinity.sour,12.403040664770415,7.113459467684129,1.7436017905375614,0.08122855087875834,-1.5390836973759434,26.345165026916774,,slope
panelist.beer_style_affinity.stout,1.5985395934546542,4.989999942966562,0.3203486195842159,0.748704070370326,-8.18168057761673,11.37875976452604,,slope
panelist.beer_style_affinity.wheat,12.969504793693448,9.997076402536685,1.2973297663707493,0.19451774672374322,-6.624404905973703,32.5634144933606,,slope
panelist.bitterness_tolerance,12.014516441615923,9.860372936092297,1.2184647091428695,0.22304742782869924,-7.311459387258447,31.340492270490294,,slope
panelist.price_sensitivity,12.400303635464299,15.198582649518528,0.8158855283691289,0.41456560979536616,-17.38837097364737,42.188978244575964,,slope
panelist.sweetness_preference,1.661372505839673,17.009150774168436,0.0976752177635333,0.9221901947994273,-31.67595041914204,34.998695430821385,,slope
product.abv,-2.7544059312588822,5.525049788435397,-0.49853051768405593,0.6181101648370788,-13.583304529382906,8.074492666865142,,slope
product.color_srm,0.0419679823125274,1.5902678666176882,0.026390511431126595,0.9789458622967188,-3.074899762029488,3.1588357266545426,,slope
product.flavor_profile.acidity,4.05103370440996,5.038787465032815,0.8039699496203255,0.42141433013771534,-5.824808252806234,13.926875661626154,,slope
product.flavor_profile.aroma_intensity,2.553082543678711,46.73373186059626,0.05463040168275868,0.9564329178772272,-89.043348766242,94.14951385359943,,slope
product.flavor_profile.bitterness,-27.98630039150095,27.51869069552274,-1.0169924398348753,0.3091570259114693,-81.921943056423,25.949342273421106,,slope
product.flavor_profile.body,11.670507704870644,43.23818504170703,0.26991206253485,0.7872279069257259,-73.07477773375362,96.41579314349491,,slope
product.flavor_profile.sweetness,-19.557341406635516,66.65598767433046,-0.2934071204853985,0.7692109834767402,-150.20067660226897,111.08599378899794,,slope
product.ibu,0.48549168797100134,0.788851875277,0.6154408744994416,0.5382636047199892,-1.0606295767088012,2.031612952650804,,slope
panelist.age_group_30-39,1.0956290820249148,4.1719427284937955,0.2626184378184098,0.792844687433128,-7.08122841138669,9.27248657543652,,slope
panelist.age_group_40-49,9.686109324956494,16.87409045418938,0.5740226029517161,0.565952505988002,-23.386500237125812,42.758718887038796,,slope
panelist.age_group_50-64,14.99811013644667,53.91348441014286,0.2781884773454754,0.7808676796422974,-90.67037758849501,120.66659786138835,,slope
panelist.age_group_65+,3.854977803457079,27.369104756880184,0.14085143952280701,0.8879873052314136,-49.78748180913195,57.49743741604611,,slope
panelist.gender_male,7.802120815418539,4.799267533104756,1.6256899123877697,0.10401563707312816,-1.604270701639174,17.208512332476253,,slope
panelist.gender_nonbinary,11.680236996478088,14.056102881485794,0.8309726454736531,0.40598908264153233,-15.869218414223743,39.22969240717992,,slope
panelist.gender_prefer_not_say,1.88095853639047,16.500619891852814,0.1139932044201075,0.9092431804164343,-30.45966217422625,34.22157924700719,,slope
panelist.income_bracket_150k+,8.047752161501629,28.311454145923676,0.284257817349179,0.7762128101566786,-47.441678314465975,63.53718263746923,,slope
panelist.region_Northeast,-4.457169228137417,11.051934631707306,-0.40329312257693584,0.6867326005361445,-26.118563065774683,17.20422460949985,,slope
0/1,39.148486973001134,56.33674481739114,0.6949014732728399,0.4871170493528727,-71.26950387530906,149.5664778213113,,threshold
1/2,1.7544358829942892,0.44894096684663537,3.9079433880081376,9.30851096827114e-05,0.8745277567902935,2.634344009198285,,threshold
2/3,1.0024801125552967,0.401292324469222,2.498129297342651,0.01248506468109991,0.21596160932326014,1.7889986157873332,,threshold
