term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type
panelist.abv_preference,,,,,,,,slope
panelist.adventurousness,,,,,,,,slope
panelist.beer_style_affinity.ipa,,,,,,,,slope
panelist.beer_style_affinity.lager,,,,,,,,slope
panelist.beer_style_affinity.sour,,,,,,,,slope
panelist.beer_style_affinity.stout,,,,,,,,slope
panelist.beer_style_affinity.wheat,,,,,,,,slope
panelist.bitterness_tolerance,,,,,,,,slope
panelist.price_sensitivity,,,,,,,,slope
panelist.sweetness_preference,,,,,,,,slope
product.abv,,,,,,,,slope
product.color_srm,,,,,,,,slope
product.flavor_profile.acidity,,,,,,,,slope
product.flavor_profile.aroma_intensity,,,,,,,,slope
product.flavor_profile.bitterness,,,,,,,,slope
product.flavor_profile.body,,,,,,,,slope
product.flavor_profile.sweetness,,,,,,,,slope
product.ibu,,,,,,,,slope
panelist.age_group_30-39,,,,,,,,slope
panelist.age_group_40-49,,,,,,,,slope
panelist.age_group_50-64,,,,,,,,slope
panelist.age_group_65+,,,,,,,,slope
panelist.gender_male,,,,,,,,slope
panelist.gender_nonbinary,,,,,,,,slope
panelist.gender_prefer_not_say,,,,,,,,slope
panelist.income_bracket_150k+,,,,,,,,slope
panelist.region_Northeast,,,,,,,,slope
