term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type,abs_estimate
panelist.beer_style_affinity.ipa,3.9686874347600853,,,,,,,slope,3.9686874347600853
panelist.abv_preference,-2.7571478903985085,,,,,,,slope,2.7571478903985085
panelist.gender_nonbinary,-1.972758436200258,,,,,,,slope,1.972758436200258
panelist.age_group_50-64,-1.8008354636674935,,,,,,,slope,1.8008354636674935
product.flavor_profile.acidity,-1.7661998307655093,,,,,,,slope,1.7661998307655093
panelist.price_sensitivity,-1.6986734876257843,,,,,,,slope,1.6986734876257843
panelist.beer_style_affinity.sour,1.637510165149928,,,,,,,slope,1.637510165149928
panelist.age_group_65+,1.5916420582735997,,,,,,,slope,1.5916420582735997
panelist.gender_prefer_not_say,1.5884196389082044,,,,,,,slope,1.5884196389082044
panelist.region_Northeast,1.3287097777088284,,,,,,,slope,1.3287097777088284
panelist.adventurousness,-1.1586478772594178,,,,,,,slope,1.1586478772594178
panelist.gender_male,-0.9330178401512915,,,,,,,slope,0.9330178401512915
panelist.beer_style_affinity.wheat,-0.931196218435314,,,,,,,slope,0.931196218435314
panelist.sweetness_preference,0.8586368542701395,,,,,,,slope,0.8586368542701395
panelist.beer_style_affinity.lager,-0.8283643805577309,,,,,,,slope,0.8283643805577309
panelist.age_group_40-49,-0.7249494313857676,,,,,,,slope,0.7249494313857676
product.abv,0.7248359575502212,,,,,,,slope,0.7248359575502212
panelist.income_bracket_150k+,0.6467348707896547,,,,,,,slope,0.6467348707896547
panelist.age_group_30-39,0.6142983805070823,,,,,,,slope,0.6142983805070823
panelist.bitterness_tolerance,0.5309976609113218,,,,,,,slope,0.5309976609113218
